parcela,año,Especie,fun_group,abundancia,abundancia_std,area_total_ha,area_somera_ha,area_profunda_ha
A2,2013,Anas platyrhynchos,duck_dabb,1420,0.142,49.23,7.38,41.85
A2,2013,Anser anser,grazer,3,6.818181818181818e-5,49.23,7.38,41.85
A2,2013,Aythya ferina,duck_dive,44,0.0044,49.23,7.38,41.85
A2,2013,Himantopus himantopus,wader_mid,234,0.036,49.23,7.38,41.85
A2,2013,Limosa limosa,wader_mid,16,5.333333333333334e-4,49.23,7.38,41.85
A2,2013,Mareca penelope,duck_dabb,341,0.01718663373821884,49.23,7.38,41.85
A2,2013,Mareca strepera,duck_dabb,198,0.0792,49.23,7.38,41.85
A2,2013,Netta rufina,duck_dive,53,0.00688311688311688,49.23,7.38,41.85
A2,2013,Phoenicopterus roseus,wader_deep,403,0.01147200318824902,49.23,7.38,41.85
A2,2013,Platalea leucorodia,wader_deep,4,0.00884955752212389,49.23,7.38,41.85
A2,2013,Recurvirostra avosetta,wader_mid,420,0.03414634146341464,49.23,7.38,41.85
A2,2013,Spatula clypeata,duck_dabb,3985,0.0797,49.23,7.38,41.85
A2,2013,Tadorna tadorna,duck_dabb,198,0.01903846153846154,49.23,7.38,41.85
A2,2013,Tringa totanus,wader_shall,5,0.00875656742556917,49.23,7.38,41.85
A2,2014,Anas acuta,duck_dabb,96,0.00188235294117647,54,9.09,44.91
A2,2014,Anas crecca,duck_dabb,362,0.0181,54,9.09,44.91
A2,2014,Anas platyrhynchos,duck_dabb,1475,0.1475,54,9.09,44.91
A2,2014,Aythya ferina,duck_dive,390,0.039,54,9.09,44.91
A2,2014,Himantopus himantopus,wader_mid,90,0.01384615384615384,54,9.09,44.91
A2,2014,Limosa limosa,wader_mid,190,0.00633333333333333,54,9.09,44.91
A2,2014,Mareca penelope,duck_dabb,240,0.0120961645078373,54,9.09,44.91
A2,2014,Mareca strepera,duck_dabb,145,0.058,54,9.09,44.91
A2,2014,Netta rufina,duck_dive,320,0.04155844155844156,54,9.09,44.91
A2,2014,Phoenicopterus roseus,wader_deep,657,0.01870249651285262,54,9.09,44.91
A2,2014,Platalea leucorodia,wader_deep,11,0.0243362831858407,54,9.09,44.91
A2,2014,Recurvirostra avosetta,wader_mid,169,0.01373983739837398,54,9.09,44.91
A2,2014,Spatula clypeata,duck_dabb,1020,0.0204,54,9.09,44.91
A2,2014,Tadorna tadorna,duck_dabb,26,0.0025,54,9.09,44.91
A2,2015,Anas acuta,duck_dabb,60,0.00117647058823529,52.47,8.1,44.37
A2,2015,Anas crecca,duck_dabb,398,0.0199,52.47,8.1,44.37
A2,2015,Anas platyrhynchos,duck_dabb,1700,0.17,52.47,8.1,44.37
A2,2015,Aythya ferina,duck_dive,90,0.009,52.47,8.1,44.37
A2,2015,Himantopus himantopus,wader_mid,140,0.02153846153846153,52.47,8.1,44.37
A2,2015,Limosa limosa,wader_mid,1100,0.03666666666666667,52.47,8.1,44.37
A2,2015,Mareca penelope,duck_dabb,45,0.00226803084521949,52.47,8.1,44.37
A2,2015,Mareca strepera,duck_dabb,90,0.036,52.47,8.1,44.37
A2,2015,Netta rufina,duck_dive,90,0.01168831168831168,52.47,8.1,44.37
A2,2015,Phoenicopterus roseus,wader_deep,350,0.00996327820319394,52.47,8.1,44.37
A2,2015,Platalea leucorodia,wader_deep,59,0.13053097345132744,52.47,8.1,44.37
A2,2015,Recurvirostra avosetta,wader_mid,200,0.01626016260162601,52.47,8.1,44.37
A2,2015,Spatula clypeata,duck_dabb,390,0.0078,52.47,8.1,44.37
A2,2015,Tadorna tadorna,duck_dabb,7,6.73076923076923e-4,52.47,8.1,44.37
A2,2016,Anas crecca,duck_dabb,289,0.01445,51.93,12.33,39.6
