parcela,año,Especie,fun_group,abundancia,abundancia_std
A2,2012,Tadorna tadorna,duck_dabb,15,0.0014423076923076924
A2,2012,Tringa erythropus,wader_mid,50,0.0625
A2,2013,Anas acuta,duck_dabb,212,0.00415686274509804
A2,2013,Anas crecca,duck_dabb,398,0.0199
A2,2013,Anas platyrhynchos,duck_dabb,1420,0.142
A2,2013,Anser anser,grazer,3,6.818181818181818e-5
A2,2013,Aythya ferina,duck_dive,44,0.0044
A2,2013,Himantopus himantopus,wader_mid,234,0.036
A2,2013,Limosa limosa,wader_mid,16,5.333333333333334e-4
A2,2013,Mareca penelope,duck_dabb,341,0.01718663373821884
A2,2013,Mareca strepera,duck_dabb,198,0.0792
A2,2013,Netta rufina,duck_dive,53,0.006883116883116883
A2,2013,Phoenicopterus roseus,wader_deep,403,0.011472003188249025
A2,2013,Platalea leucorodia,wader_deep,4,0.008849557522123894
A2,2013,Recurvirostra avosetta,wader_mid,420,0.03414634146341464
A2,2013,Spatula clypeata,duck_dabb,3985,0.0797
A2,2013,Tadorna tadorna,duck_dabb,198,0.01903846153846154
A2,2013,Tringa totanus,wader_shall,5,0.008756567425569177
A2,2014,Anas acuta,duck_dabb,96,0.0018823529411764706
A2,2014,Anas crecca,duck_dabb,362,0.0181
A2,2014,Anas platyrhynchos,duck_dabb,1475,0.1475
A2,2014,Aythya ferina,duck_dive,390,0.039
A2,2014,Himantopus himantopus,wader_mid,90,0.013846153846153847
A2,2014,Limosa limosa,wader_mid,190,0.006333333333333333
A2,2014,Mareca penelope,duck_dabb,240,0.012096164507837306
A2,2014,Mareca strepera,duck_dabb,145,0.058
A2,2014,Netta rufina,duck_dive,320,0.04155844155844156
A2,2014,Phoenicopterus roseus,wader_deep,657,0.018702496512852627
A2,2014,Platalea leucorodia,wader_deep,11,0.024336283185840708
A2,2014,Recurvirostra avosetta,wader_mid,169,0.013739837398373984
A2,2014,Spatula clypeata,duck_dabb,1020,0.0204
A2,2014,Tadorna tadorna,duck_dabb,26,0.0025
A2,2015,Anas acuta,duck_dabb,60,0.001176470588235294
A2,2015,Anas crecca,duck_dabb,398,0.0199
A2,2015,Anas platyrhynchos,duck_dabb,1700,0.17
A2,2015,Aythya ferina,duck_dive,90,0.009
A2,2015,Himantopus himantopus,wader_mid,140,0.021538461538461538
A2,2015,Limosa limosa,wader_mid,1100,0.03666666666666667
A2,2015,Mareca penelope,duck_dabb,45,0.002268030845219495
A2,2015,Mareca strepera,duck_dabb,90,0.036
A2,2015,Netta rufina,duck_dive,90,0.011688311688311689
A2,2015,Phoenicopterus roseus,wader_deep,350,0.009963278203193942
A2,2015,Platalea leucorodia,wader_deep,59,0.13053097345132744
A2,2015,Recurvirostra avosetta,wader_mid,200,0.016260162601626018
A2,2015,Spatula clypeata,duck_dabb,390,0.0078
A2,2015,Tadorna tadorna,duck_dabb,7,6.73076923076923e-4
A2,2016,Anas crecca,duck_dabb,289,0.01445
A2,2016,Anas platyrhynchos,duck_dabb,1675,0.1675
A2,2016,Aythya ferina,duck_dive,500,0.05
A2,2016,Himantopus himantopus,wader_mid,642,0.09876923076923078
A2,2016,Limosa limosa,wader_mid,6500,0.21666666666666667
A2,2016,Mareca penelope,duck_dabb,10,5.040068544932211e-4
A2,2016,Mareca strepera,duck_dabb,30,0.012
A2,2016,Marmaronetta angustirostris,duck_dabb,117,0.13
A2,2016,Netta rufina,duck_dive,50,0.006493506493506494
A2,2016,Oxyura leucocephala,duck_dive,7,0.0220125786163522
A2,2016,Phoenicopterus roseus,wader_deep,820,0.023342537504625806
A2,2016,Platalea leucorodia,wader_deep,360,0.7964601769911505
A2,2016,Recurvirostra avosetta,wader_mid,1780,0.14471544715447154
A2,2016,Spatula clypeata,duck_dabb,15,3e-4
A2,2016,Tadorna tadorna,duck_dabb,124,0.011923076923076923
A2,2017,Actitis hypoleucos,wader_shall,2,0.1111111111111111
A2,2017,Anas crecca,duck_dabb,58,0.0029
A2,2017,Anas platyrhynchos,duck_dabb,397,0.0397
A2,2017,Aythya ferina,duck_dive,66,0.0066
A2,2017,Himantopus himantopus,wader_mid,95,0.014615384615384615
A2,2017,Limosa limosa,wader_mid,20,6.666666666666666e-4
A2,2017,Mareca penelope,duck_dabb,68,0.0034272466105539036
A2,2017,Mareca strepera,duck_dabb,42,0.0168
A2,2017,Marmaronetta angustirostris,duck_dabb,264,0.29333333333333333
A2,2017,Netta rufina,duck_dive,241,0.0312987012987013
A2,2017,Oxyura leucocephala,duck_dive,7,0.0220125786163522
A2,2017,Phoenicopterus roseus,wader_deep,952,0.027100116712687524
A2,2017,Platalea leucorodia,wader_deep,42,0.09292035398230089
A2,2017,Plegadis falcinellus,wader_deep,98,0.007862013638186923
A2,2017,Recurvirostra avosetta,wader_mid,450,0.036585365853658534
A2,2017,Spatula clypeata,duck_dabb,687,0.01374
A2,2017,Tadorna tadorna,duck_dabb,112,0.010769230769230769
A2,2018,Anas acuta,duck_dabb,80,0.001568627450980392
A2,2018,Anas crecca,duck_dabb,690,0.0345
A2,2018,Anas platyrhynchos,duck_dabb,480,0.048
A2,2018,Aythya ferina,duck_dive,240,0.024
A2,2018,Himantopus himantopus,wader_mid,100,0.015384615384615385
A2,2018,Mareca penelope,duck_dabb,260,0.01310417821682375
A2,2018,Mareca strepera,duck_dabb,190,0.076
A2,2018,Marmaronetta angustirostris,duck_dabb,9,0.01
A2,2018,Netta rufina,duck_dive,65,0.008441558441558441
A2,2018,Oxyura leucocephala,duck_dive,5,0.015723270440251572
A2,2018,Phoenicopterus roseus,wader_deep,350,0.009963278203193942
A2,2018,Platalea leucorodia,wader_deep,12,0.02654867256637168
A2,2018,Recurvirostra avosetta,wader_mid,1780,0.14471544715447154
A2,2018,Spatula clypeata,duck_dabb,2540,0.0508
A2,2018,Spatula querquedula,duck_dabb,2,0.008264462809917356
A2,2018,Tringa totanus,wader_shall,2,0.0035026269702276708
A2,2019,Anas acuta,duck_dabb,650,0.012745098039215686
A2,2019,Anas crecca,duck_dabb,890,0.0445
A2,2019,Anas platyrhynchos,duck_dabb,1952,0.1952
A2,2019,Aythya ferina,duck_dive,1900,0.19
A2,2019,Himantopus himantopus,wader_mid,260,0.04
A2,2019,Mareca penelope,duck_dabb,375,0.01890025704349579
A2,2019,Mareca strepera,duck_dabb,95,0.038
A2,2019,Marmaronetta angustirostris,duck_dabb,178,0.19777777777777777
A2,2019,Oxyura leucocephala,duck_dive,66,0.20754716981132076
A2,2019,Phoenicopterus roseus,wader_deep,254,0.007230493324603604
