parcela,año,valor_medio_MNDWI,Ratio_Inundacion_Total,count_seco,count_vegetal,count_verde,count_azul,ratio_seco,ratio_vegetal,ratio_verde,ratio_azul
C6,2006,0.6385536575081078,0.7371475953565506,187,130,94,795,0.1550580431177446,0.1077943615257048,0.0779436152570481,0.6592039800995025
D5,2006,0.7197782698722472,0.8499690018598884,133,109,198,1173,0.08245505269683819,0.0675759454432734,0.12275263484190949,0.7272163670179789
C4,2006,0.6934056550783296,0.7885669537979639,149,121,122,885,0.11667971808927173,0.0947533281127643,0.09553641346906813,0.6930305403288959
E3,2006,0.612023261475988,0.7473404255319149,43,52,66,215,0.11436170212765957,0.13829787234042554,0.17553191489361702,0.5718085106382979
E4,2006,0.6748289930598158,0.7941176470588235,65,68,90,423,0.10061919504643962,0.10526315789473684,0.1393188854489164,0.6547987616099071
D6,2006,0.618961438369706,0.7461538461538462,92,106,103,479,0.11794871794871795,0.1358974358974359,0.13205128205128205,0.6141025641025641
C5,2006,0.6587177188216812,0.7571428571428571,189,117,125,829,0.15,0.09285714285714286,0.0992063492063492,0.6579365079365079
D4,2006,0.7504050201591349,0.8637532133676092,64,95,109,899,0.054841473864610114,0.08140531276778064,0.0934018851756641,0.7703513281919452
D3,2006,0.7076736397353394,0.8338658146964856,67,89,134,649,0.07135250266240682,0.09478168264110756,0.14270500532481364,0.691160809371672
C3,2006,0.5683298783952446,0.6575809199318569,252,150,76,696,0.21465076660988075,0.12776831345826234,0.06473594548551959,0.5928449744463373
C2,2006,0.4777010001616941,0.59679037111334,239,163,139,456,0.23971915747241726,0.16349047141424272,0.13941825476429287,0.4573721163490471
C0,2006,0.38826496699287266,0.5230769230769231,153,95,83,189,0.29423076923076924,0.18269230769230768,0.1596153846153846,0.36346153846153845
Almajal-Perimetro-Pasto,2006,-0.25249191680644006,0.008300574111258802,68249,1882,273,314,0.9650866823156764,0.02661274357306485,0.0038604032919483016,0.004440170819310501
La Dehesilla,2006,0.6374431192149191,0.8241935483870968,399,473,1076,3012,0.08044354838709677,0.09536290322580646,0.21693548387096775,0.6072580645161291
San Carlos,2006,0.06147270793049378,0.23486134691567628,1229,123,95,320,0.6955291454442558,0.06960950764006792,0.053763440860215055,0.18109790605546122
Santa Teresa,2006,0.5573886994334845,0.6886215334420881,1180,347,341,3036,0.2406199021207178,0.07075856443719412,0.06953507340946166,0.6190864600326265
Los Portugueses,2006,0.6660181785545485,0.8552797644089188,365,667,1708,4391,0.05118496704529519,0.093535268545786,0.2395175992146964,0.6157621651942224
Los Riacheros,2006,-0.2895098644929756,0.008496176720475786,1150,17,9,1,0.9770603228547153,0.014443500424808835,0.0076465590484282074,8.496176720475786e-4
